,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type
FLICKERPEPE,Edition,100,10/13/22,Counterparty,,FakeRarePepes,https://pepe.wtf/asset/FLICKERPEPE,,,,,Bitcoin,,,Bitcoin
Decal,Generative,100,10/21/22,Deca,,Free Drop to Deca Users,https://opensea.io/collection/decal-by-bryan-brinkman,0xDB71bfF021cd2Bb1ba5e19c4C0A28E2ff9FFc705,ERC-721,0,99,Hosted by Platform,,,Platform
Light Clouds,Unique,1,11/6/22,Ensemble,,,https://opensea.io/assets/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/1,0x57Ac8098b4194d57E6432fBa1CfF3d5214E2AEc3,ERC-721,1,1,Arweave,,,Arweave
NimBox,Unique,1,11/6/22,Ensemble,,,https://opensea.io/assets/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/2,0x57Ac8098b4194d57E6432fBa1CfF3d5214E2AEc3,ERC-721,2,2,Arweave,,,Arweave
CTRL Panel,Unique,1,11/6/22,Ensemble,,,https://opensea.io/assets/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/3,0x57Ac8098b4194d57E6432fBa1CfF3d5214E2AEc3,ERC-721,3,3,Arweave,,,Arweave
Ice Cream Deconstructed,Unique,1,11/6/22,Ensemble,,,https://opensea.io/assets/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/4,0x57Ac8098b4194d57E6432fBa1CfF3d5214E2AEc3,ERC-721,4,4,Arweave,,,Arweave
Floral,Unique,1,11/6/22,Ensemble,,,https://opensea.io/assets/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/5,0x57Ac8098b4194d57E6432fBa1CfF3d5214E2AEc3,ERC-721,5,5,Arweave,,,Arweave
Free Transform,Unique,1,11/17/22,Moonpay/Manifold,,Charity Drop for Jumpstart Designers,https://opensea.io/assets/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/6,0xd9964a04e7CbA56ce823d68795F916ec29922CBa,ERC-721,2,2,Arweave,,,Arweave
Time to Be Happy | Bryan Brinkman,Unique,1,12/1/22,Scope/Niftygateway,,NFT/Physical Pair,https://www.niftygateway.com/itemdetail/primary/0xa86337b3fc1025f7cfbac3199e306bdb4d0c8b2c/6,,,,,QmSzyjzkFWLXj29V7Pz8KJNHHyTaDdtHdz8QVF9bof3Dyn,NG API,,Platform
Palm,Unique,1,12/1/22,Metamask,,Metamask Potluck Swap,https://opensea.io/assets/ethereum/0x5aac326792211069e7ec46632e4b89e2bb104760/6,0x5aaC326792211069E7EC46632e4B89E2BB104760,ERC-721,6,6,Arweave,,,Arweave
Crocodile of Wall Street,Unique,1,12/5/22,Coinbase/Coindesk,,,https://opensea.io/assets/ethereum/0xac46c1059b80237198e29d71339853649255e4a0/9,,,,,QmVsAaa7a8d2NUw1TqRZkRv1Jwg9jyCXihUT3BzEht7Tjo,QmSn61VG7YPBSkF1oEWvrwSLrYHhBKr5nBCWGeV3gv4P7K,Y,IPFS
Awaken Your Inner Child,Edition,20,12/6/22,ChangeDAO,,Upbring Charity Drop,https://opensea.io/collection/awaken-your-inner-child?search[stringTraits][0][name]=Twitter%20Handle&search[stringTraits][0][values][0]=%40bryanbrinkman&search[sortAscending]=true&search[sortBy]=UNIT_PRICE,0x3bD07e536893dB78392141714F2a810c9C997e1D,ERC-721,1,20,bafybeigm2slv7dkrs5iaozo2nqi5q7sennva3qpslifhwnm7nzwakzdemq,bafybeicufrljva27f2zrvy6ixvmprjunulceqrtwwrqtutqs7yqvq2kroy,Y,IPFS
NimTeens,Generative,400,1/13/23,ArtBlocks,,,https://opensea.io/collection/nimteens-by-bryan-brinkman,0x99a9B7c1116f9ceEB1652de04d5969CcE509B069,ERC-721,408000000,408000399,,,ONCHAIN,ONCHAIN
